"TF" "Target" "Score" "Likelihood"
"ARX" "FHOD3" "0.689099939295441" "0.014985014985015"
"ARX" "MYLK3" "0.662076510228598" "0.003996003996004"
"ARX" "IQCD" "0.829487499642985" "0.0009990009990009"
"ARX" "FAM47E" "0.631774411760953" "0.0089910089910089"
"NR3C2" "RHBDF2" "-0.617241693005433" "0.001998001998002"
"ATF3" "DUSP1" "0.842799602700363" "0.004995004995005"
"ATF3" "HSPB8" "0.740775364089115" "0.016983016983017"
"ATF3" "BTG2" "0.866746436032757" "0.004995004995005"
"ATF3" "MIR23A" "0.788044072766537" "0.0009990009990009"
"ATF3" "MIR24-2" "0.68849059880323" "0.04995004995005"
"ATF3" "FLJ42393" "0.602486646431113" "0.003996003996004"
"RXRB" "TELO2" "0.586660253006047" "0.030969030969031"
"RXRB" "EFS" "0.551215639735419" "0.002997002997003"
"RXRB" "STK11" "0.626440084866483" "0.023976023976024"
"RXRB" "LRFN3" "0.531839659935916" "0.0009990009990009"
"RXRB" "DPF2" "0.552823660416798" "0.003996003996004"
"RXRB" "ULK3" "0.542755004044122" "0.123876123876124"
"RXRB" "SCRN2" "0.595256755289615" "0.01998001998002"
"RXRB" "GPR17" "0.616291736420905" "0.004995004995005"
"RXRB" "PLXNB1" "0.623639242359416" "0.013986013986014"
"RXRB" "PWWP2B" "0.583688623484842" "0.003996003996004"
"RXRB" "SSH3" "0.636179487314021" "0.0639360639360639"
"RXRB" "FBXO46" "0.620231905138518" "0.01998001998002"
"RXRB" "PLCD1" "0.577270655193319" "0.032967032967033"
"ZNF691" "SIRT4" "0.686854028073328" "0.0009990009990009"
"ZNF691" "S100PBP" "0.691781425056233" "0.0009990009990009"
"ZNF691" "PCYOX1L" "0.53245365946003" "0.0079920079920079"
"ZNF691" "CHRNB1" "0.611084101728311" "0.0009990009990009"
"ZNF691" "GPR4" "-0.704058395101805" "0.003996003996004"
"ZNF691" "ALOXE3" "-0.53774940454766" "0.033966033966034"
"ZNF691" "YOD1" "-0.71065611070428" "0.001998001998002"
"TCF7L2" "ATP11A" "0.574006877165797" "0.004995004995005"
"TCF7L2" "ARHGEF10L" "0.630704853494433" "0.001998001998002"
"TCF7L2" "LARP4B" "0.545464851880391" "0.0009990009990009"
"TCF7L2" "KCNC3" "0.650952771814785" "0.001998001998002"
"TCF7L2" "SVIL" "0.5364112163513" "0.372627372627373"
"IRX5" "MYOT" "0.606702613099126" "0.0089910089910089"
"IRX5" "CCDC51" "0.563669445491042" "0.0009990009990009"
"IRX5" "FLJ42393" "-0.673539190222966" "0.0669330669330669"
"BHLHE40" "USP36" "0.750682751816823" "0.0009990009990009"
"BHLHE40" "OGDH" "0.568301731919051" "0.0079920079920079"
"BHLHE40" "HSD17B1" "-0.66331292981993" "0.0059940059940059"
"BHLHE40" "TRIB1" "0.877986793615982" "0.0069930069930069"
"BHLHE40" "MIR938" "0.629737002443582" "0.001998001998002"
"SIX1" "WNK2" "0.772676487059365" "0.002997002997003"
"NFIL3" "CD59" "0.728706548073511" "0.0009990009990009"
"NFIL3" "DNAJB1" "0.696940276930883" "0.0009990009990009"
"NFIL3" "CCNL1" "0.904809558194163" "0.024975024975025"
"NFIL3" "C11orf91" "0.805170149815236" "0.04995004995005"
