case_submitter_id	SRF	FOXO1	KLF16	EBF1	STAT5A	BCL6	IRF8	ZEB1	TCF3	RUNX1	FOXJ3	TAL1	RFX5	FOXO3	VDR	ELF2	ETS1	YBX1	IRF1	ELF1	RARA	E2F3	ZNF740	MAFK	MAZ	ESRRA	AR	JUND	SPI1	IRF5	TBX5	ERG	HMGA1	STAT3	SP2
C3L-02508	257.9348011580029	211.36005495680288	168.111161595072	84.46847618622651	128.7952168108552	189.13723371900517	190.99804500861768	146.55604264948397	264.69527273918084	103.68917076978592	140.69110267844388	466.177295345773	-22.355865942205114	275.2834523217334	60.57461905269989	140.2540291646938	142.9646780230529	289.24906243055096	235.46988431418873	205.2187769362598	362.78653533115585	30.506028444074417	-10.151385067476085	225.0998555789217	402.72172544313895	875.3349188619198	-16.155339310102107	252.58351493474888	1161.2180726029198	103.63193041492897	254.54188851556856	235.31402184701807	127.05746342293166	428.4736849987787	231.1236059859802
C3L-02549	257.57391113751356	196.61848970105473	174.95031610727955	67.22926938763509	121.60503615116943	186.28397869811562	184.88552851783928	137.0280173204231	255.0095392024956	112.18244161615047	137.92484696737188	434.6077620186082	-25.47524600853403	268.29989857451636	68.37922572394501	127.07782806291445	138.5712252593787	277.74339354243546	242.6655622698171	205.87154455658163	365.2333621018205	22.778791171712598	-10.612826318674749	227.38520148615254	400.9023695422224	891.2831897963176	-25.771144156251438	254.64043944479394	1148.371216381552	104.36200909084035	237.47652871587798	218.44097231366064	126.11643602610829	435.9420798903697	223.84782953126324
C3N-00167	259.897709076595	202.72007996798257	169.76278913596263	64.16467965967753	123.32408734941694	196.70588498704552	187.15804034749692	115.80565368394315	268.2460222685637	116.54160213286121	138.94932597120902	443.6642619166117	-25.655728189475397	280.6941909160554	69.9451369895013	125.85609699918395	133.00203281731694	275.6017367434826	232.8300990610566	199.73771023735165	370.56569952475735	25.31331870420739	-9.72238653839213	231.0022776944703	404.81214780529695	879.8380033740456	-28.427743804901795	258.6783743303431	1166.4520315960028	109.4852338196313	230.32012101703216	218.98770223514023	135.20929860875052	422.2100033550585	245.4008594411459
C3N-00169	257.88812844050994	202.94637567836827	173.51073179479374	62.5674130622084	123.8399551010925	183.60219506983063	183.09615829056756	113.14784017485732	270.18987626164926	122.88574326544658	137.55098873272584	435.54455014891755	-29.406697352327754	271.6627844149433	79.28576733397864	128.62454028738773	140.75995894086472	270.2906793597733	246.0160827187106	200.22152218965024	370.1323372227796	26.07750949033303	-11.35034110966221	229.60058739508563	400.9939996761968	856.3833619868147	-30.184167942562823	257.6111839010468	1142.3033633337006	114.81025085572925	252.40125121069275	219.546929125856	138.27960220469393	425.1603524086991	239.92001747220763
C3N-00175	247.8937186695376	199.41423140175897	169.82473971445717	69.60125722294755	121.92146611409844	176.14682924714072	181.88311854244236	113.09707609155396	265.0012398732843	124.6471055874883	133.58110115073507	425.87069554816395	-37.838958789242184	257.64383726403395	70.9201718026613	125.31711360751973	138.1213724331084	261.4800328198731	236.6494829760311	186.82055087752525	362.33818796632704	26.912306759742947	-6.9177420816137385	228.16681229784933	385.7941743771542	826.1586844333136	-28.315100284020744	254.2657246082131	1113.6256064196534	109.84649591050714	260.8063160117664	218.3781429093472	139.03053815279162	413.5700064473743	243.82199125496695
C3N-00180	254.67170788747967	206.13760845394495	173.96394709076955	73.25340007045259	116.28465214163452	178.50671973578798	165.4928443266061	122.55745277580641	273.10412057878966	120.03954053883074	135.1813427622057	429.3434508814893	-36.90452648061145	260.3104589910249	75.22855922322822	125.03409075112648	134.4199451535752	261.6413177705212	230.76040827071978	182.28696556909554	369.71406047045554	10.526277822792565	3.7299425335797594	219.60968167280612	402.4184016396965	845.9509114969501	-23.397222206859027	246.7123001847195	1085.9938384554705	101.71889367723396	259.46509089559015	220.74906312419867	117.92282483118362	408.0087724662522	245.53049205860387
C3N-00199	248.74188204705894	205.48163088223708	168.9920503401721	65.29097132507209	114.01473826814974	190.01590568368712	176.32168159493384	123.29729896987364	261.1560928935381	115.01713494508587	137.49209518118542	430.86100568805256	-36.62534462698652	274.2096154690042	67.61434007275636	128.43010510175833	139.3395389869506	263.7153382047049	228.35109458794773	196.78215581132847	360.3867988287885	24.3009552456207	-5.995911226534076	233.22708462851588	391.0492955408169	841.9111869428046	-26.60708273117183	258.0979287448042	1096.783113808611	100.56701729344556	267.78539048420424	216.93966502253843	125.46509921339401	415.14767181312504	245.71490873151114
C3N-00203	251.02693672246983	198.4814820841485	178.3902187230085	73.80008509069772	139.6889804569442	187.09034878453718	185.44789307194338	116.14423504556041	270.5752178972688	127.83446704039034	145.0642324244828	417.8460239493092	-27.90337087613534	261.3727752950763	86.99098491484999	136.05619369991697	138.50609650529412	271.89676656259115	250.31376480075372	200.85673110748053	377.46612465090715	33.82060366888672	-13.079347463484922	229.83167160313258	407.0220441969822	870.9375374762512	-33.83209524209704	252.50068175788692	1164.6347970239256	117.43225695529252	253.45451029506094	212.96264351757512	138.7790715806413	419.8957850566546	241.10277214873088
C3N-00217	249.1029072374646	200.8177042706086	171.10794778294087	63.88437381391789	119.42636290414801	177.47933617774635	174.66520696926273	120.35006185762309	261.0642795801431	115.01580689418482	141.02263147317623	431.7273326159539	-17.787500069932932	267.0202400203399	70.57936542930564	127.54705062088956	131.37039043656534	270.3056056035008	235.0887961870298	200.4779112397328	357.1775545879373	27.19285756043979	-8.700401571460645	226.586779293699	403.39019913223296	874.4021648347654	-24.8096043620983	255.1461299342527	1111.2014558294757	102.93617395754165	234.37506510170408	214.05969792387953	129.36120360787055	424.100002581301	237.641871594275
C3N-00223	247.8068386539373	196.3957182530419	164.6588280712709	64.59477345702226	124.09943220210614	180.27548034739414	192.25373434529888	113.94657640469347	263.00588506483314	117.10821085553326	136.3409576235116	418.3683443171065	-24.046243496039992	273.41280595482675	68.21794430263846	120.38116678542062	133.14891650000206	278.3267342839531	227.6801092054618	201.8564087239501	353.41965985424815	31.199730703430717	-8.007214623304506	222.31439319598948	399.988198882948	872.596876043704	-26.161497278015332	248.1974947240587	1159.7308882576108	114.13492255490624	250.34409438967043	207.91887767957172	136.50456860857298	418.9980868904988	229.44603032323758
C3N-00293	250.63928893804268	192.32494172106715	173.77631522764102	65.30220185374756	119.9353082267663	169.93106836583428	179.4090070895349	112.72298107893951	272.170201233392	121.4112875212565	135.42469896911638	429.0443442725962	-40.38694420731943	260.7852731648718	71.86181164333922	123.80760183687775	130.86546790858753	259.3252705873482	234.75608890758272	187.96922413287703	367.6858710857335	25.828729522183423	-3.167671727691655	224.6123499214792	394.6306769393472	841.2135232379269	-27.54883023458534	251.7578084814707	1122.4613672233543	108.85862330171491	259.7969690975201	212.53602469708312	136.62980349400092	413.79960770004317	247.028881388406
